#timestamp,x,y,z,w,qx,qy,qz
0,0,0,0,1,0,0,0
1,0.00107823,-0.00227715,-0.00057375,1,-0.000460573,-0.000296003,5.9535e-05
2,-0.00137123,-4.68124e-05,0.00140569,1,0.000140543,0.000352063,4.90034e-05
3,0.00366861,0.00230948,0.000687523,0.999999,0.000701785,-0.000843058,0.000440936
4,0.0016244,0.000115573,-0.00141466,1,-1.05063e-07,-0.000252196,0.000188499
5,0.00101183,-1.03482e-05,-0.00109975,1,-1.06921e-05,-0.000178694,0.000393972
6,0.00391125,3.91836e-05,0.00133472,1,3.03246e-05,-0.000584296,0.000527379
7,0.00464168,-0.00335,0.00146815,0.999999,-0.000890109,-0.000614274,0.000602538
8,-0.00102683,-0.00137375,0.000929967,1,-0.000340013,0.000674494,-0.000103777
9,0.0047697,-0.00061987,0.00204143,1,-0.000110179,-0.000479402,0.000799413
10,0.00524831,-0.00028923,0.00260172,0.999999,-1.55421e-05,-0.000692168,0.000773968
11,0.000176839,-0.00202557,0.000612174,1,-0.000554512,0.000460359,0.00015994
12,0.000441317,0.00257815,0.000579621,0.999999,0.00100557,-5.69266e-05,0.000367018
13,0.000620051,0.00271272,6.91195e-05,0.999999,0.000769982,4.82818e-05,0.000646077
14,0.0042558,-0.00279927,0.00123734,0.999999,-0.000758705,-0.000487912,0.000574178
15,0.00430214,0.000177194,-0.000819095,1,0.000194181,0.000251565,0.000800489
16,0.00420073,-0.00404823,0.000838881,0.999999,-0.000828235,-0.000406199,0.000727489
17,0.0047646,-0.00275729,0.000997909,0.999999,-0.000408675,-0.000630397,0.000882815
18,-0.00353487,1.17063e-05,-0.00044451,0.999999,0.000317273,0.000797488,0.000565839
19,0.000304216,-0.00164132,-0.000405702,1,-4.28559e-06,-0.000555048,0.000513596
20,0.00109949,0.00166635,-0.000261439,0.999999,0.000444769,-0.000672477,0.000728546
21,0.0013489,0.00200663,7.5856e-05,0.999999,0.000311235,-0.000661886,0.000810077
22,0.00172294,0.00138826,-7.6518e-05,0.999999,0.000206326,-0.000759345,0.000696084
23,0.00232569,-0.00167852,-0.000304104,0.999999,-0.000762506,-0.000765214,0.000399568
24,0.0016643,-0.000987694,0.00169121,1,-0.000517563,-0.000521115,0.000657957
25,0.00132761,-0.00174575,-0.000107127,1,-0.000677856,-0.000629137,0.000263928
26,0.00205363,0.00140151,-0.000262143,0.999999,0.000207738,-0.000801693,0.000639088
27,-0.000700649,-0.00118729,0.000426222,1,-0.000505235,-0.000297078,0.000127793
28,-0.000455011,-0.00074779,-0.000263923,1,-0.000306227,-0.000264546,-1.40814e-05
29,0.000609379,0.00262473,-0.000564194,0.999999,0.000894366,-0.000427665,0.000330289
30,0.00375534,0.00329609,0.00082019,0.999999,0.00100011,-0.000685372,0.000372164
31,0.00197059,0.00201602,-0.000752767,1,0.000665203,-0.000222085,0.000444521
32,-0.000421883,-0.00242005,-0.000996842,1,-0.000272812,0.000349873,6.22955e-05
33,0.000592919,0.000110618,-0.000435827,1,0.00033869,0.000236337,0.000113041
34,0.00196311,-0.000394099,-0.00165825,1,1.59402e-06,-0.000357191,0.000431598
35,-0.000697395,-0.00110849,-0.000172817,1,-0.000201013,0.000566036,6.85237e-05
36,-0.00261991,-0.00108196,0.00142464,1,-0.000177267,0.000755516,-0.00028787
37,0.00205149,0.00381915,0.000466288,0.999999,0.00111977,-0.000341951,0.000359907
38,0.00324651,0.00243599,-0.00126465,0.999999,0.000638198,-0.000599604,0.000487019
39,0.00236556,0.000753118,-0.000436106,1,0.000392597,-0.000452178,0.000280664
40,-0.000508375,0.00204483,1.80631e-05,1,0.000896818,-1.43723e-05,0.000418851
41,-2.00296e-05,0.00333624,-0.000427064,0.999999,0.00101378,-1.23146e-05,0.00042215
42,0.00318187,0.000683536,0.000831946,0.999999,0.000351383,-0.000813642,0.000642212
43,0.000105917,0.00205812,0.000791836,1,0.000755943,-0.000108229,0.000274061
44,-0.000560524,-0.00118761,-0.000311762,1,-0.000183841,-0.000103452,5.77295e-05
45,0.000799241,-2.88828e-05,0.00050908,1,0.000218506,-0.000338041,0.000240867
